

















-445 ; 1087 -- 











-772 ; 1040 -- -471 ; 1012 -- -160 ; 1066 -- 
-772 ; 1040 -- -562 ; 1096 -- -160 ; 1066 -- 
-772 ; 1040 -- -756 ; 962 -- -563 ; 1097 -- -159 ; 1066 -- -632 ; 337 -- 
-772 ; 1040 -- -758 ; 963 -- -631 ; 336 -- -160 ; 1066 -- 
-631 ; 336 -- -562 ; 1096 -- -160 ; 1066 -- 
-631 ; 336 -- -562 ; 1097 -- -160 ; 1066 -- 
-630 ; 335 -- -161 ; 1067 -- 
-162 ; 1067 -- 
-164 ; 1068 -- 
-165 ; 1068 -- 
-166 ; 1069 -- 
-166 ; 1069 -- 
-545 ; 1087 -- -520 ; 1098 -- -169 ; 1069 -- 
-540 ; 1086 -- -170 ; 1070 -- 
-536 ; 1083 -- -517 ; 1096 -- -173 ; 1070 -- 
-532 ; 1081 -- -515 ; 1095 -- -176 ; 1071 -- 
-526 ; 1079 -- -178 ; 1072 -- 
-526 ; 1079 -- -178 ; 1072 -- 
-520 ; 1076 -- -181 ; 1072 -- 
-515 ; 1075 -- -184 ; 1073 -- 
-656 ; 1096 -- -505 ; 1092 -- -508 ; 1072 -- -465 ; 1018 -- -188 ; 1074 -- 
-503 ; 1071 -- -192 ; 1075 -- 
-499 ; 1072 -- -195 ; 1075 -- 
-499 ; 1072 -- -195 ; 1075 -- 
-649 ; 1124 -- -494 ; 1071 -- -199 ; 1075 -- 
-582 ; 1121 -- -489 ; 1071 -- -204 ; 1076 -- 
-643 ; 1140 -- -208 ; 1077 -- 
-213 ; 1078 -- 
-217 ; 1078 -- 
-217 ; 1078 -- 
-222 ; 1078 -- 
-227 ; 1079 -- 
-232 ; 1080 -- 
-238 ; 1080 -- 
-238 ; 1080 -- 
-244 ; 1082 -- 
-468 ; 1008 -- -248 ; 1082 -- 
-254 ; 1083 -- 
-261 ; 1084 -- 
-267 ; 1084 -- 
-267 ; 1084 -- 
-273 ; 1084 -- 
-280 ; 1086 -- 
-454 ; 1071 -- -286 ; 1086 -- 
-490 ; 1107 -- -451 ; 1074 -- -292 ; 1086 -- 
-489 ; 1107 -- -447 ; 1076 -- -299 ; 1087 -- 
-447 ; 1076 -- -299 ; 1087 -- 
-443 ; 1081 -- -306 ; 1088 -- 
-439 ; 1086 -- -312 ; 1088 -- 
-435 ; 1094 -- -320 ; 1089 -- 
-434 ; 1103 -- -327 ; 1090 -- 
-463 ; 1098 -- -436 ; 1111 -- -333 ; 1090 -- 
-463 ; 1098 -- -436 ; 1111 -- -333 ; 1090 -- 
-503 ; 1158 -- -484 ; 1100 -- -441 ; 1118 -- 
-448 ; 1125 -- 
-507 ; 1156 -- -355 ; 1091 -- 

-369 ; 1092 -- 
-369 ; 1092 -- 
-505 ; 1145 -- -462 ; 1102 -- -377 ; 1093 -- 
-464 ; 1134 -- -457 ; 1103 -- 
-641 ; 976 -- 
-639 ; 977 -- -464 ; 1135 -- 
-465 ; 1135 -- -461 ; 999 -- 
-465 ; 1135 -- -461 ; 999 -- 
-539 ; 1117 -- -379 ; 1111 -- 
-366 ; 1120 -- 
-352 ; 1129 -- 
-340 ; 1137 -- 
-328 ; 1145 -- 
-328 ; 1145 -- 
-319 ; 1153 -- 
-309 ; 1160 -- 
-299 ; 1168 -- 
-820 ; 1108 -- -657 ; 975 -- -489 ; 1030 -- -291 ; 1176 -- 
-658 ; 975 -- -282 ; 1183 -- 
-658 ; 975 -- -282 ; 1183 -- 
-606 ; 1006 -- -275 ; 1190 -- 
-267 ; 1196 -- 
-261 ; 1202 -- 
-255 ; 1209 -- 
-255 ; 1208 -- 
-479 ; 1155 -- -250 ; 1215 -- 
-245 ; 1221 -- 
-241 ; 1228 -- 
-237 ; 1235 -- 
-233 ; 1240 -- 
-472 ; 1042 -- -232 ; 1240 -- 
-471 ; 1045 -- -231 ; 1246 -- 
-486 ; 1124 -- -228 ; 1254 -- 
-226 ; 1260 -- 
-819 ; 1103 -- -224 ; 1264 -- 
-223 ; 1271 -- 
-223 ; 1271 -- 
-222 ; 1276 -- 
-818 ; 1106 -- 
-223 ; 1290 -- 
-224 ; 1295 -- 
-482 ; 1118 -- -226 ; 1302 -- 
-482 ; 1118 -- -226 ; 1302 -- 
-229 ; 1309 -- 
-841 ; 1061 -- -232 ; 1315 -- 
-236 ; 1321 -- 
-240 ; 1328 -- 
-244 ; 1334 -- 
-244 ; 1334 -- 
-250 ; 1340 -- 
-687 ; 981 -- -256 ; 1347 -- 
-687 ; 981 -- -264 ; 1353 -- 
-864 ; 1063 -- -687 ; 981 -- -536 ; 1059 -- -271 ; 1359 -- 
-687 ; 981 -- -279 ; 1366 -- 
-867 ; 1063 -- -687 ; 981 -- -279 ; 1366 -- 
-867 ; 1063 -- -688 ; 981 -- -288 ; 1372 -- 
-867 ; 1063 -- -299 ; 1378 -- 
-616 ; 985 -- -310 ; 1386 -- 
-322 ; 1393 -- 
-620 ; 328 -- -591 ; 986 -- -536 ; 1049 -- -334 ; 1399 -- 
-816 ; 1073 -- -620 ; 328 -- -591 ; 986 -- -536 ; 1050 -- -334 ; 1399 -- 
-772 ; 1223 -- -591 ; 986 -- -347 ; 1405 -- 
-627 ; 331 -- -592 ; 986 -- -362 ; 1412 -- 
-592 ; 986 -- -535 ; 1049 -- -379 ; 1419 -- 
-772 ; 1224 -- -394 ; 1426 -- 
-760 ; 1227 -- -566 ; 1361 -- -534 ; 1050 -- -412 ; 1432 -- 
-566 ; 1361 -- -534 ; 1050 -- -412 ; 1432 -- 



-446 ; 1355 -- 

-563 ; 1356 -- 



-385 ; 1175 -- 
-385 ; 1175 -- 
-381 ; 1149 -- 
-377 ; 1128 -- 
-374 ; 1109 -- 
-371 ; 1090 -- 
-370 ; 1075 -- 
-370 ; 1075 -- 
-368 ; 1060 -- 
-520 ; 1052 -- -368 ; 1048 -- 
-563 ; 1067 -- -368 ; 1036 -- 
-368 ; 1025 -- 
-563 ; 1068 -- -369 ; 1016 -- 
-563 ; 1068 -- -369 ; 1016 -- 
-371 ; 1007 -- 
-563 ; 1097 -- -372 ; 998 -- 
-577 ; 1079 -- -563 ; 1094 -- -563 ; 1070 -- -375 ; 991 -- 
-578 ; 1099 -- -563 ; 1091 -- -564 ; 1069 -- -377 ; 983 -- 
-576 ; 1079 -- -380 ; 976 -- 
-576 ; 1079 -- -380 ; 976 -- 
-563 ; 1083 -- -494 ; 1021 -- -383 ; 970 -- 
-563 ; 1075 -- -387 ; 964 -- 
-493 ; 1014 -- -390 ; 958 -- 
-491 ; 1011 -- -394 ; 952 -- 
-564 ; 1067 -- -489 ; 1007 -- -398 ; 948 -- 
-564 ; 1067 -- -489 ; 1007 -- -398 ; 948 -- 
-402 ; 943 -- 
-488 ; 999 -- -407 ; 939 -- 
-489 ; 996 -- -412 ; 934 -- 
-491 ; 992 -- -417 ; 930 -- 
-496 ; 988 -- -423 ; 926 -- 
-494 ; 988 -- -423 ; 926 -- 
-518 ; 1087 -- -504 ; 1014 -- -427 ; 922 -- 
-522 ; 1078 -- -504 ; 980 -- -433 ; 919 -- 
-529 ; 1075 -- -508 ; 976 -- -438 ; 915 -- 
-445 ; 912 -- 
-621 ; 1266 -- -538 ; 1064 -- -516 ; 967 -- -452 ; 909 -- 
-638 ; 311 -- -539 ; 1064 -- -516 ; 967 -- -452 ; 910 -- 
-564 ; 1021 -- -522 ; 963 -- 
